iller,year,otomobil,minibus,otobus,kamyonet,kamyon,bölge
Adana,2014, 266 880, 9 572, 4 752, 85 915, 18 896,Akdeniz Bölgesi
Adıyaman,2014, 40 132, 4 309,360, 11 871, 3 326,Güneydoğu Anadolu Bölgesi
Afyonkarahisar,2014, 72 453, 4 297, 1 621, 26 261, 8 666,Ege Bölgesi
Ağrı,2014, 9 898, 2 568,305, 7 219, 2 336,Doğu Anadolu Bölgesi
Amasya,2014, 46 318, 2 813,664, 13 412, 3 130,Karadeniz Bölgesi
Ankara,2014,1 147 113, 22 861, 16 702, 228 846, 69 821,İç Anadolu Bölgesi
Antalya,2014, 393 766, 12 415, 10 067, 147 799, 20 511,Akdeniz Bölgesi
Artvin,2014, 12 164, 2 028,271, 10 686, 3 043,Karadeniz Bölgesi
Aydın,2014, 145 131, 9 219, 2 858, 52 476, 7 681,Ege Bölgesi
Balıkesir,2014, 165 028, 5 278, 3 774, 54 645, 11 026,Marmara Bölgesi
Bilecik,2014, 25 558,898,815, 9 377, 2 939,Marmara Bölgesi
Bingöl,2014, 5 932, 1 148,232, 4 048,987,Doğu Anadolu Bölgesi
Bitlis,2014, 7 223, 1 391,136, 5 322, 1 743,Doğu Anadolu Bölgesi
Bolu,2014, 45 338, 1 360, 1 040, 13 377, 5 374,Karadeniz Bölgesi
Burdur,2014, 46 382, 1 160,853, 12 128, 5 331,Akdeniz Bölgesi
Bursa,2014, 364 903, 11 212, 9 238, 134 143, 24 335,Marmara Bölgesi
Çanakkale,2014, 69 423, 2 125, 1 892, 25 609, 5 037,Marmara Bölgesi
Çankırı,2014, 18 148,732,434, 6 314, 1 718,İç Anadolu Bölgesi
Çorum,2014, 69 493, 2 663, 1 130, 17 639, 5 223,Karadeniz Bölgesi
Denizli,2014, 155 758, 6 518, 3 748, 50 084, 10 497,Ege Bölgesi
Diyarbakır,2014, 50 018, 6 347, 1 258, 22 271, 7 032,Güneydoğu Anadolu Bölgesi
Edirne,2014, 54 637, 1 650, 1 830, 17 095, 3 999,Marmara Bölgesi
Elazığ,2014, 54 277, 3 543,678, 19 300, 4 549,Doğu Anadolu Bölgesi
Erzincan,2014, 22 804, 1 615,453, 8 581, 1 693,Doğu Anadolu Bölgesi
Erzurum,2014, 50 799, 3 063,940, 22 972, 5 578,Doğu Anadolu Bölgesi
Eskişehir,2014, 133 485, 3 235, 2 576, 36 510, 9 564,İç Anadolu Bölgesi
Gaziantep,2014, 184 988, 11 919, 3 999, 69 469, 17 219,Güneydoğu Anadolu Bölgesi
Giresun,2014, 32 328, 7 225,366, 21 696, 3 999,Karadeniz Bölgesi
Gümüşhane,2014, 7 973, 1 139,185, 4 375, 1 320,Karadeniz Bölgesi
Hakkari,2014, 2 093, 1 280,67, 2 895, 1 610,Doğu Anadolu Bölgesi
Hatay,2014, 164 237, 11 433, 3 233, 51 571, 18 777,Akdeniz Bölgesi
Isparta,2014, 66 823, 2 175, 1 361, 20 016, 4 282,Akdeniz Bölgesi
Mersin,2014, 212 044, 7 188, 5 325, 84 095, 29 063,Akdeniz Bölgesi
İstanbul,2014,2 274 368, 73 482, 46 203, 593 533, 127 395,Marmara Bölgesi
İzmir,2014, 612 020, 13 602, 15 301, 190 684, 36 538,Ege Bölgesi
Kars,2014, 10 433, 1 696,371, 6 703, 1 846,Doğu Anadolu Bölgesi
Kastamonu,2014, 52 566, 2 736, 1 083, 13 619, 4 899,Karadeniz Bölgesi
Kayseri,2014, 192 254, 5 558, 4 118, 50 863, 15 524,İç Anadolu Bölgesi
Kırklareli,2014, 46 749, 1 557, 1 544, 13 634, 3 781,Marmara Bölgesi
Kırşehir,2014, 31 914, 1 140,558, 6 623, 1 990,İç Anadolu Bölgesi
Kocaeli,2014, 177 844, 7 259, 7 155, 60 501, 20 647,Marmara Bölgesi
Konya,2014, 289 030, 9 614, 5 344, 94 410, 32 770,İç Anadolu Bölgesi
Kütahya,2014, 90 352, 3 806, 1 897, 22 334, 6 726,Ege Bölgesi
Malatya,2014, 69 677, 4 216, 1 363, 26 289, 4 559,Doğu Anadolu Bölgesi
Manisa,2014, 177 038, 6 588, 6 350, 57 213, 13 924,Ege Bölgesi
K.Maraş,2014, 100 982, 6 906, 1 742, 31 188, 6 665,Akdeniz Bölgesi
Mardin,2014, 20 713, 3 908,470, 16 570, 11 432,Güneydoğu Anadolu Bölgesi
Muğla,2014, 164 132, 10 275, 3 205, 57 336, 8 219,Ege Bölgesi
Muş,2014, 8 033, 1 331,206, 6 435, 1 768,Doğu Anadolu Bölgesi
Nevşehir,2014, 41 674, 3 100,762, 14 895, 5 892,İç Anadolu Bölgesi
Niğde,2014, 34 749, 1 671,931, 13 482, 5 346,İç Anadolu Bölgesi
Ordu,2014, 56 815, 10 456,647, 28 024, 5 201,Karadeniz Bölgesi
Rize,2014, 26 063, 3 287,654, 25 047, 5 131,Karadeniz Bölgesi
Sakarya,2014, 112 505, 4 816, 3 252, 36 828, 9 757,Marmara Bölgesi
Samsun,2014, 129 896, 12 257, 1 387, 53 233, 9 026,Karadeniz Bölgesi
Siirt,2014, 6 360, 1 508,119, 4 913, 1 097,Güneydoğu Anadolu Bölgesi
Sinop,2014, 26 395, 2 005,313, 7 331, 1 861,Karadeniz Bölgesi
Sivas,2014, 67 164, 3 339, 1 177, 20 034, 5 431,İç Anadolu Bölgesi
Tekirdağ,2014, 110 697, 4 637, 4 563, 35 579, 8 692,Marmara Bölgesi
Tokat,2014, 63 136, 3 905, 1 316, 20 664, 4 181,Karadeniz Bölgesi
Trabzon,2014, 76 131, 8 174, 1 884, 44 880, 10 547,Karadeniz Bölgesi
Tunceli,2014, 2 670,653,85, 1 567,418,Doğu Anadolu Bölgesi
Ş.Urfa,2014, 90 019, 7 969, 1 271, 26 906, 15 067,Güneydoğu Anadolu Bölgesi
Uşak,2014, 54 188, 2 030, 1 376, 14 990, 3 630,Ege Bölgesi
Van,2014, 26 514, 7 574,535, 22 234, 7 055,Doğu Anadolu Bölgesi
Yozgat,2014, 42 283, 2 632,592, 9 979, 4 709,İç Anadolu Bölgesi
Zonguldak,2014, 78 677, 4 484, 1 977, 22 682, 5 843,Karadeniz Bölgesi
Aksaray,2014, 49 145, 1 293, 1 268, 12 837, 5 466,İç Anadolu Bölgesi
Bayburt,2014, 5 017,544,114, 2 100,554,Karadeniz Bölgesi
Karaman,2014, 30 425, 1 657,580, 9 154, 2 308,İç Anadolu Bölgesi
Kırıkkale,2014, 37 734, 1 622,653, 6 841, 2 297,İç Anadolu Bölgesi
Batman,2014, 14 068, 2 527,252, 10 543, 2 868,Güneydoğu Anadolu Bölgesi
Şırnak,2014, 3 556, 1 542,122, 6 082, 13 867,Doğu Anadolu Bölgesi
Bartın,2014, 24 071, 1 489,629, 6 423, 1 402,Karadeniz Bölgesi
Ardahan,2014, 3 140,786,43, 2 229,457,Doğu Anadolu Bölgesi
Iğdır,2014, 5 989, 1 226,372, 4 883, 3 641,Doğu Anadolu Bölgesi
Yalova,2014, 26 750, 1 604, 1 036, 10 269, 1 786,Marmara Bölgesi
Karabük,2014, 35 241, 1 806,551, 7 964, 2 939,Karadeniz Bölgesi
Kilis,2014, 8 966,934,158, 2 779,869,Güneydoğu Anadolu Bölgesi
Osmaniye,2014, 62 217, 3 596,853, 17 474, 3 198,Akdeniz Bölgesi
Düzce,2014, 44 008, 2 088, 1 655, 13 681, 4 204,Karadeniz Bölgesi
Adana,2015, 280 153, 9 807, 4 809, 89 013, 19 466,Akdeniz Bölgesi
Adıyaman,2015, 41 803, 4 368,372, 12 512, 3 432,Güneydoğu Anadolu Bölgesi
Afyonkarahisar,2015, 75 526, 4 374, 1 687, 27 746, 8 967,Ege Bölgesi
Ağrı,2015, 10 141, 2 565,340, 7 431, 2 301,Doğu Anadolu Bölgesi
Amasya,2015, 48 410, 2 826,679, 14 047, 3 227,Karadeniz Bölgesi
Ankara,2015,1 199 519, 23 018, 17 193, 240 462, 71 896,İç Anadolu Bölgesi
Antalya,2015, 415 093, 13 008, 10 309, 156 033, 21 361,Akdeniz Bölgesi
Artvin,2015, 12 722, 2 045,340, 11 162, 3 159,Karadeniz Bölgesi
Aydın,2015, 152 251, 9 488, 2 989, 55 502, 7 930,Ege Bölgesi
Balıkesir,2015, 172 467, 5 550, 3 900, 57 369, 11 401,Marmara Bölgesi
Bilecik,2015, 27 008,923,819, 9 850, 2 991,Marmara Bölgesi
Bingöl,2015, 6 265, 1 175,232, 4 289, 1 018,Doğu Anadolu Bölgesi
Bitlis,2015, 7 386, 1 420,133, 5 578, 1 786,Doğu Anadolu Bölgesi
Bolu,2015, 47 615, 1 382, 1 018, 14 039, 5 523,Karadeniz Bölgesi
Burdur,2015, 48 315, 1 180,873, 12 888, 5 515,Akdeniz Bölgesi
Bursa,2015, 387 527, 11 981, 9 111, 139 762, 25 335,Marmara Bölgesi
Çanakkale,2015, 73 686, 2 180, 1 922, 27 000, 5 242,Marmara Bölgesi
Çankırı,2015, 19 009,751,474, 6 803, 1 801,İç Anadolu Bölgesi
Çorum,2015, 72 239, 2 647, 1 150, 18 458, 5 317,Karadeniz Bölgesi
Denizli,2015, 163 553, 6 575, 3 830, 52 308, 10 919,Ege Bölgesi
Diyarbakır,2015, 51 175, 6 291, 1 329, 22 635, 7 227,Güneydoğu Anadolu Bölgesi
Edirne,2015, 57 467, 1 717, 1 846, 17 944, 4 134,Marmara Bölgesi
Elazığ,2015, 57 165, 3 609,680, 20 261, 4 721,Doğu Anadolu Bölgesi
Erzincan,2015, 23 710, 1 604,435, 9 097, 1 742,Doğu Anadolu Bölgesi
Erzurum,2015, 52 313, 3 074,986, 23 810, 5 694,Doğu Anadolu Bölgesi
Eskişehir,2015, 139 865, 3 345, 2 627, 38 228, 9 862,İç Anadolu Bölgesi
Gaziantep,2015, 194 080, 12 010, 4 058, 72 634, 17 683,Güneydoğu Anadolu Bölgesi
Giresun,2015, 34 100, 7 249,364, 23 032, 4 193,Karadeniz Bölgesi
Gümüşhane,2015, 8 495, 1 125,186, 4 658, 1 349,Karadeniz Bölgesi
Hakkari,2015, 2 084, 1 338,72, 2 785, 1 540,Doğu Anadolu Bölgesi
Hatay,2015, 172 549, 11 542, 3 318, 53 706, 19 486,Akdeniz Bölgesi
Isparta,2015, 69 520, 2 227, 1 402, 21 103, 4 344,Akdeniz Bölgesi
Mersin,2015, 223 949, 7 421, 5 507, 87 855, 30 312,Akdeniz Bölgesi
İstanbul,2015,2 414 465, 78 840, 46 230, 606 227, 131 214,Marmara Bölgesi
İzmir,2015, 638 899, 13 817, 15 470, 197 606, 37 823,Ege Bölgesi
Kars,2015, 10 776, 1 718,367, 7 053, 1 881,Doğu Anadolu Bölgesi
Kastamonu,2015, 54 740, 2 736, 1 068, 14 315, 5 015,Karadeniz Bölgesi
Kayseri,2015, 199 857, 5 780, 4 373, 53 150, 15 903,İç Anadolu Bölgesi
Kırklareli,2015, 49 674, 1 651, 1 522, 14 295, 3 901,Marmara Bölgesi
Kırşehir,2015, 33 379, 1 145,569, 7 029, 2 145,İç Anadolu Bölgesi
Kocaeli,2015, 188 294, 7 606, 7 150, 63 085, 21 575,Marmara Bölgesi
Konya,2015, 301 953, 9 925, 5 453, 100 167, 33 745,İç Anadolu Bölgesi
Kütahya,2015, 94 163, 3 865, 1 915, 23 303, 6 862,Ege Bölgesi
Malatya,2015, 73 353, 4 264, 1 414, 27 571, 4 691,Doğu Anadolu Bölgesi
Manisa,2015, 185 164, 6 798, 6 638, 59 718, 14 409,Ege Bölgesi
K.Maraş,2015, 106 117, 7 008, 1 801, 33 133, 6 869,Akdeniz Bölgesi
Mardin,2015, 21 768, 4 001,482, 17 516, 11 382,Güneydoğu Anadolu Bölgesi
Muğla,2015, 172 665, 10 588, 3 405, 59 992, 8 502,Ege Bölgesi
Muş,2015, 8 455, 1 361,201, 6 960, 1 786,Doğu Anadolu Bölgesi
Nevşehir,2015, 43 686, 3 159,771, 15 820, 6 124,İç Anadolu Bölgesi
Niğde,2015, 36 955, 1 726,946, 14 328, 5 518,İç Anadolu Bölgesi
Ordu,2015, 59 445, 10 552,694, 29 423, 5 308,Karadeniz Bölgesi
Rize,2015, 27 477, 3 277,703, 26 466, 5 363,Karadeniz Bölgesi
Sakarya,2015, 119 747, 5 147, 3 408, 39 033, 10 186,Marmara Bölgesi
Samsun,2015, 136 524, 12 470, 1 406, 55 790, 9 188,Karadeniz Bölgesi
Siirt,2015, 6 615, 1 545,119, 5 120, 1 129,Güneydoğu Anadolu Bölgesi
Sinop,2015, 27 391, 1 995,307, 7 679, 1 909,Karadeniz Bölgesi
Sivas,2015, 70 519, 3 353, 1 185, 21 327, 5 655,İç Anadolu Bölgesi
Tekirdağ,2015, 117 519, 4 898, 4 712, 37 410, 9 430,Marmara Bölgesi
Tokat,2015, 66 046, 4 016, 1 274, 21 635, 4 266,Karadeniz Bölgesi
Trabzon,2015, 81 414, 8 508, 1 904, 47 028, 10 870,Karadeniz Bölgesi
Tunceli,2015, 2 881,671,96, 1 646,436,Doğu Anadolu Bölgesi
Ş.Urfa,2015, 91 717, 8 265, 1 292, 28 109, 15 185,Güneydoğu Anadolu Bölgesi
Uşak,2015, 56 824, 2 048, 1 443, 15 671, 3 806,Ege Bölgesi
Van,2015, 27 121, 7 592,599, 22 679, 6 896,Doğu Anadolu Bölgesi
Yozgat,2015, 43 816, 2 631,590, 10 497, 4 825,İç Anadolu Bölgesi
Zonguldak,2015, 81 910, 4 449, 1 974, 23 457, 6 001,Karadeniz Bölgesi
Aksaray,2015, 51 894, 1 322, 1 399, 13 713, 5 675,İç Anadolu Bölgesi
Bayburt,2015, 5 311,552,116, 2 215,575,Karadeniz Bölgesi
Karaman,2015, 31 549, 1 714,594, 9 620, 2 349,İç Anadolu Bölgesi
Kırıkkale,2015, 38 962, 1 587,660, 7 234, 2 431,İç Anadolu Bölgesi
Batman,2015, 14 330, 2 573,254, 11 023, 2 862,Güneydoğu Anadolu Bölgesi
Şırnak,2015, 3 814, 1 683,149, 6 408, 14 170,Doğu Anadolu Bölgesi
Bartın,2015, 24 994, 1 479,628, 6 649, 1 454,Karadeniz Bölgesi
Ardahan,2015, 3 290,794,43, 2 375,472,Doğu Anadolu Bölgesi
Iğdır,2015, 6 135, 1 254,357, 5 085, 3 605,Doğu Anadolu Bölgesi
Yalova,2015, 28 880, 1 685, 1 061, 10 894, 1 863,Marmara Bölgesi
Karabük,2015, 36 615, 1 776,595, 8 320, 2 983,Karadeniz Bölgesi
Kilis,2015, 9 243,925,163, 2 982,910,Güneydoğu Anadolu Bölgesi
Osmaniye,2015, 65 231, 3 632,894, 18 470, 3 303,Akdeniz Bölgesi
Düzce,2015, 46 520, 2 191, 1 645, 14 469, 4 686,Karadeniz Bölgesi
Adana,2016, 303 841, 10 247, 4 889, 94 462, 20 092,Akdeniz Bölgesi
Adıyaman,2016, 44 277, 4 601,375, 13 578, 3 403,Güneydoğu Anadolu Bölgesi
Afyonkarahisar,2016, 81 997, 4 597, 1 734, 30 657, 9 353,Ege Bölgesi
Ağrı,2016, 10 147, 2 565,343, 7 595, 2 219,Doğu Anadolu Bölgesi
Amasya,2016, 53 441, 2 942,722, 15 377, 3 384,Karadeniz Bölgesi
Ankara,2016,1 297 145, 23 869, 17 573, 261 898, 75 439,İç Anadolu Bölgesi
Antalya,2016, 448 577, 13 129, 10 283, 168 615, 22 496,Akdeniz Bölgesi
Artvin,2016, 14 353, 2 129,392, 12 208, 3 270,Karadeniz Bölgesi
Aydın,2016, 167 159, 10 034, 3 104, 61 163, 8 505,Ege Bölgesi
Balıkesir,2016, 189 518, 5 970, 3 909, 62 166, 11 922,Marmara Bölgesi
Bilecik,2016, 30 413,971,832, 10 767, 3 101,Marmara Bölgesi
Bingöl,2016, 6 777, 1 288,237, 4 561, 1 027,Doğu Anadolu Bölgesi
Bitlis,2016, 7 534, 1 508,150, 5 913, 1 784,Doğu Anadolu Bölgesi
Bolu,2016, 52 575, 1 496, 1 057, 15 326, 5 825,Karadeniz Bölgesi
Burdur,2016, 52 241, 1 260,892, 14 324, 5 688,Akdeniz Bölgesi
Bursa,2016, 436 504, 13 351, 8 937, 151 536, 27 131,Marmara Bölgesi
Çanakkale,2016, 83 120, 2 379, 1 987, 29 910, 5 598,Marmara Bölgesi
Çankırı,2016, 21 002,736,493, 7 599, 1 871,İç Anadolu Bölgesi
Çorum,2016, 77 426, 2 658, 1 202, 20 108, 5 597,Karadeniz Bölgesi
Denizli,2016, 178 594, 6 776, 4 017, 56 940, 11 681,Ege Bölgesi
Diyarbakır,2016, 50 184, 6 088, 1 386, 22 528, 6 987,Güneydoğu Anadolu Bölgesi
Edirne,2016, 63 725, 1 784, 1 927, 19 482, 4 303,Marmara Bölgesi
Elazığ,2016, 62 731, 3 835,698, 22 121, 4 949,Doğu Anadolu Bölgesi
Erzincan,2016, 25 724, 1 617,471, 10 112, 1 815,Doğu Anadolu Bölgesi
Erzurum,2016, 55 141, 3 020, 1 137, 25 266, 5 808,Doğu Anadolu Bölgesi
Eskişehir,2016, 153 086, 3 492, 2 672, 41 377, 10 161,İç Anadolu Bölgesi
Gaziantep,2016, 209 292, 12 234, 4 165, 78 928, 17 938,Güneydoğu Anadolu Bölgesi
Giresun,2016, 38 342, 7 585,382, 25 660, 4 504,Karadeniz Bölgesi
Gümüşhane,2016, 9 653, 1 124,209, 5 249, 1 392,Karadeniz Bölgesi
Hakkari,2016, 1 985, 1 422,68, 2 613, 1 476,Doğu Anadolu Bölgesi
Hatay,2016, 189 332, 12 071, 3 681, 58 377, 20 124,Akdeniz Bölgesi
Isparta,2016, 75 537, 2 376, 1 474, 23 018, 4 493,Akdeniz Bölgesi
Mersin,2016, 247 101, 8 064, 5 543, 95 569, 31 258,Akdeniz Bölgesi
İstanbul,2016,2 644 411, 85 979, 45 208, 632 869, 133 654,Marmara Bölgesi
İzmir,2016, 694 464, 14 615, 15 954, 211 025, 39 615,Ege Bölgesi
Kars,2016, 11 473, 1 792,376, 7 641, 1 933,Doğu Anadolu Bölgesi
Kastamonu,2016, 59 290, 2 789, 1 120, 15 963, 5 228,Karadeniz Bölgesi
Kayseri,2016, 215 843, 6 070, 4 618, 57 666, 16 400,İç Anadolu Bölgesi
Kırklareli,2016, 55 812, 1 858, 1 503, 15 542, 4 108,Marmara Bölgesi
Kırşehir,2016, 36 185, 1 149,598, 7 759, 2 266,İç Anadolu Bölgesi
Kocaeli,2016, 209 070, 8 095, 7 295, 68 409, 22 520,Marmara Bölgesi
Konya,2016, 329 142, 10 510, 5 815, 110 326, 35 251,İç Anadolu Bölgesi
Kütahya,2016, 101 266, 3 934, 2 016, 25 197, 7 042,Ege Bölgesi
Malatya,2016, 81 363, 4 596, 1 525, 30 286, 4 898,Doğu Anadolu Bölgesi
Manisa,2016, 201 527, 7 137, 7 188, 64 577, 15 176,Ege Bölgesi
K.Maraş,2016, 115 991, 7 016, 2 130, 37 118, 7 216,Akdeniz Bölgesi
Mardin,2016, 22 032, 4 238,477, 18 299, 10 919,Güneydoğu Anadolu Bölgesi
Muğla,2016, 188 879, 10 585, 3 905, 64 969, 8 982,Ege Bölgesi
Muş,2016, 8 919, 1 549,191, 7 529, 1 759,Doğu Anadolu Bölgesi
Nevşehir,2016, 47 802, 3 187,785, 17 319, 6 516,İç Anadolu Bölgesi
Niğde,2016, 41 503, 1 806,941, 15 965, 5 741,İç Anadolu Bölgesi
Ordu,2016, 65 553, 10 951,713, 32 150, 5 582,Karadeniz Bölgesi
Rize,2016, 30 615, 3 417,718, 29 229, 5 626,Karadeniz Bölgesi
Sakarya,2016, 133 934, 5 677, 3 794, 43 359, 10 597,Marmara Bölgesi
Samsun,2016, 151 282, 12 925, 1 480, 61 064, 9 683,Karadeniz Bölgesi
Siirt,2016, 6 863, 1 711,116, 5 332, 1 097,Güneydoğu Anadolu Bölgesi
Sinop,2016, 29 779, 2 057,326, 8 331, 1 992,Karadeniz Bölgesi
Sivas,2016, 77 168, 3 382, 1 185, 23 695, 5 953,İç Anadolu Bölgesi
Tekirdağ,2016, 131 879, 5 321, 5 047, 41 158, 10 132,Marmara Bölgesi
Tokat,2016, 72 615, 4 186, 1 321, 23 700, 4 457,Karadeniz Bölgesi
Trabzon,2016, 92 085, 9 311, 1 878, 51 485, 11 365,Karadeniz Bölgesi
Tunceli,2016, 3 074,644,104, 1 675,427,Doğu Anadolu Bölgesi
Ş.Urfa,2016, 93 947, 8 929, 1 346, 30 240, 14 950,Güneydoğu Anadolu Bölgesi
Uşak,2016, 61 950, 2 124, 1 537, 17 046, 3 952,Ege Bölgesi
Van,2016, 27 336, 7 718,616, 23 298, 6 643,Doğu Anadolu Bölgesi
Yozgat,2016, 47 102, 2 680,588, 11 651, 5 129,İç Anadolu Bölgesi
Zonguldak,2016, 88 663, 4 501, 1 994, 25 021, 6 211,Karadeniz Bölgesi
Aksaray,2016, 57 878, 1 368, 1 469, 15 527, 6 082,İç Anadolu Bölgesi
Bayburt,2016, 5 949,562,122, 2 521,645,Karadeniz Bölgesi
Karaman,2016, 33 859, 1 827,639, 10 674, 2 445,İç Anadolu Bölgesi
Kırıkkale,2016, 41 795, 1 627,676, 7 880, 2 591,İç Anadolu Bölgesi
Batman,2016, 14 341, 2 747,262, 11 361, 2 709,Güneydoğu Anadolu Bölgesi
Şırnak,2016, 3 669, 1 656,151, 6 208, 13 351,Doğu Anadolu Bölgesi
Bartın,2016, 27 067, 1 540,615, 7 189, 1 578,Karadeniz Bölgesi
Ardahan,2016, 3 663,812,49, 2 698,465,Doğu Anadolu Bölgesi
Iğdır,2016, 6 377, 1 315,347, 5 320, 3 589,Doğu Anadolu Bölgesi
Yalova,2016, 33 007, 1 848, 1 076, 12 310, 1 995,Marmara Bölgesi
Karabük,2016, 39 853, 1 782,630, 9 110, 3 088,Karadeniz Bölgesi
Kilis,2016, 9 934,951,156, 3 361,999,Güneydoğu Anadolu Bölgesi
Osmaniye,2016, 71 440, 3 712, 1 002, 20 513, 3 420,Akdeniz Bölgesi
Düzce,2016, 51 875, 2 529, 1 818, 15 915, 4 763,Karadeniz Bölgesi
