iller,year,otomobil,minibus,otobus,kamyonet,kamyon,bölge
Adana,2017, 321 865, 10 626, 4 879, 98 671, 20 055,Akdeniz Bölgesi
Adıyaman,2017, 46 735, 4 708,397, 14 789, 3 415,Güneydoğu Anadolu Bölgesi
Afyonkarahisar,2017, 86 925, 4 817, 1 758, 32 919, 9 647,Ege Bölgesi
Ağrı,2017, 10 183, 2 606,329, 7 677, 2 235,Doğu Anadolu Bölgesi
Amasya,2017, 56 742, 2 983,737, 16 413, 3 480,Karadeniz Bölgesi
Ankara,2017,1 376 928, 24 517, 17 878, 282 287, 78 373,İç Anadolu Bölgesi
Antalya,2017, 477 336, 13 751, 10 623, 177 027, 23 111,Akdeniz Bölgesi
Artvin,2017, 15 473, 2 208,374, 13 103, 3 344,Karadeniz Bölgesi
Aydın,2017, 177 720, 10 282, 3 070, 65 513, 8 809,Ege Bölgesi
Balıkesir,2017, 202 033, 6 205, 3 814, 66 052, 12 185,Marmara Bölgesi
Bilecik,2017, 32 763, 1 071,865, 11 451, 3 145,Marmara Bölgesi
Bingöl,2017, 7 320, 1 365,227, 4 835, 1 139,Doğu Anadolu Bölgesi
Bitlis,2017, 7 744, 1 584,155, 6 214, 1 811,Doğu Anadolu Bölgesi
Bolu,2017, 55 639, 1 557, 1 050, 16 215, 5 925,Karadeniz Bölgesi
Burdur,2017, 54 717, 1 309,920, 15 169, 5 735,Akdeniz Bölgesi
Bursa,2017, 473 250, 14 173, 8 734, 161 616, 27 976,Marmara Bölgesi
Çanakkale,2017, 89 499, 2 524, 1 939, 31 936, 5 866,Marmara Bölgesi
Çankırı,2017, 22 016,744,522, 8 076, 1 904,İç Anadolu Bölgesi
Çorum,2017, 81 228, 2 705, 1 168, 21 441, 5 720,Karadeniz Bölgesi
Denizli,2017, 190 469, 6 928, 4 042, 60 931, 12 113,Ege Bölgesi
Diyarbakır,2017, 51 186, 6 123, 1 383, 23 162, 6 942,Güneydoğu Anadolu Bölgesi
Edirne,2017, 67 737, 1 878, 1 917, 20 785, 4 397,Marmara Bölgesi
Elazığ,2017, 67 192, 4 022,722, 23 550, 5 218,Doğu Anadolu Bölgesi
Erzincan,2017, 27 155, 1 646,497, 10 875, 1 907,Doğu Anadolu Bölgesi
Erzurum,2017, 57 713, 3 007, 1 171, 26 415, 5 838,Doğu Anadolu Bölgesi
Eskişehir,2017, 162 666, 3 617, 2 794, 43 889, 10 402,İç Anadolu Bölgesi
Gaziantep,2017, 221 351, 12 546, 4 274, 84 177, 18 100,Güneydoğu Anadolu Bölgesi
Giresun,2017, 41 056, 7 844,378, 27 547, 4 648,Karadeniz Bölgesi
Gümüşhane,2017, 10 326, 1 119,214, 5 719, 1 464,Karadeniz Bölgesi
Hakkari,2017, 2 104, 1 516,67, 2 580, 1 485,Doğu Anadolu Bölgesi
Hatay,2017, 202 818, 12 350, 3 793, 61 774, 20 103,Akdeniz Bölgesi
Isparta,2017, 79 589, 2 472, 1 485, 24 338, 4 584,Akdeniz Bölgesi
Mersin,2017, 264 937, 8 518, 5 566, 101 382, 31 475,Akdeniz Bölgesi
İstanbul,2017,2 813 027, 90 121, 44 351, 657 572, 134 318,Marmara Bölgesi
İzmir,2017, 739 809, 15 153, 16 016, 223 571, 40 996,Ege Bölgesi
Kars,2017, 11 963, 1 834,400, 8 005, 1 948,Doğu Anadolu Bölgesi
Kastamonu,2017, 62 440, 2 850, 1 151, 17 154, 5 370,Karadeniz Bölgesi
Kayseri,2017, 228 920, 6 214, 4 822, 61 477, 16 518,İç Anadolu Bölgesi
Kırklareli,2017, 59 561, 1 959, 1 516, 16 393, 4 268,Marmara Bölgesi
Kırşehir,2017, 38 108, 1 178,594, 8 337, 2 332,İç Anadolu Bölgesi
Kocaeli,2017, 223 723, 8 308, 7 239, 72 849, 22 845,Marmara Bölgesi
Konya,2017, 346 270, 10 853, 5 927, 117 332, 35 946,İç Anadolu Bölgesi
Kütahya,2017, 105 971, 3 977, 2 011, 26 491, 7 164,Ege Bölgesi
Malatya,2017, 87 776, 4 628, 1 688, 32 398, 5 058,Doğu Anadolu Bölgesi
Manisa,2017, 213 186, 7 115, 7 349, 68 586, 15 622,Ege Bölgesi
K.Maraş,2017, 124 832, 7 199, 2 099, 40 227, 7 441,Akdeniz Bölgesi
Mardin,2017, 22 992, 4 412,497, 19 063, 10 500,Güneydoğu Anadolu Bölgesi
Muğla,2017, 200 676, 10 066, 4 336, 69 218, 9 236,Ege Bölgesi
Muş,2017, 9 107, 1 592,190, 7 808, 1 810,Doğu Anadolu Bölgesi
Nevşehir,2017, 50 568, 3 204,784, 18 335, 6 552,İç Anadolu Bölgesi
Niğde,2017, 44 601, 1 912,949, 17 032, 5 787,İç Anadolu Bölgesi
Ordu,2017, 70 202, 11 062,793, 34 244, 5 809,Karadeniz Bölgesi
Rize,2017, 32 783, 3 478,690, 30 891, 5 739,Karadeniz Bölgesi
Sakarya,2017, 144 049, 5 752, 3 725, 46 448, 10 836,Marmara Bölgesi
Samsun,2017, 163 273, 13 363, 1 552, 64 989, 10 041,Karadeniz Bölgesi
Siirt,2017, 7 156, 1 733,127, 5 510, 1 094,Güneydoğu Anadolu Bölgesi
Sinop,2017, 31 088, 2 050,342, 8 754, 2 033,Karadeniz Bölgesi
Sivas,2017, 81 895, 3 403, 1 218, 25 274, 6 123,İç Anadolu Bölgesi
Tekirdağ,2017, 140 986, 5 302, 5 298, 43 839, 10 402,Marmara Bölgesi
Tokat,2017, 77 527, 4 308, 1 334, 25 099, 4 600,Karadeniz Bölgesi
Trabzon,2017, 100 479, 9 804, 1 830, 54 775, 11 580,Karadeniz Bölgesi
Tunceli,2017, 3 293,671,92, 1 791,448,Doğu Anadolu Bölgesi
Ş.Urfa,2017, 95 819, 9 544, 1 404, 31 259, 14 663,Güneydoğu Anadolu Bölgesi
Uşak,2017, 65 804, 2 242, 1 530, 18 314, 4 049,Ege Bölgesi
Van,2017, 27 942, 7 733,637, 23 858, 6 480,Doğu Anadolu Bölgesi
Yozgat,2017, 49 003, 2 670,590, 12 421, 5 252,İç Anadolu Bölgesi
Zonguldak,2017, 93 843, 4 547, 1 985, 26 112, 6 276,Karadeniz Bölgesi
Aksaray,2017, 61 850, 1 400, 1 477, 16 650, 6 260,İç Anadolu Bölgesi
Bayburt,2017, 6 412,586,112, 2 741,664,Karadeniz Bölgesi
Karaman,2017, 35 809, 1 880,663, 11 549, 2 526,İç Anadolu Bölgesi
Kırıkkale,2017, 43 121, 1 666,687, 8 426, 2 607,İç Anadolu Bölgesi
Batman,2017, 14 961, 2 822,298, 11 796, 2 728,Güneydoğu Anadolu Bölgesi
Şırnak,2017, 4 085, 1 732,210, 6 402, 12 406,Doğu Anadolu Bölgesi
Bartın,2017, 28 571, 1 544,611, 7 569, 1 590,Karadeniz Bölgesi
Ardahan,2017, 3 914,828,49, 2 853,487,Doğu Anadolu Bölgesi
Iğdır,2017, 6 500, 1 372,329, 5 494, 3 360,Doğu Anadolu Bölgesi
Yalova,2017, 35 344, 1 993, 1 061, 13 047, 2 086,Marmara Bölgesi
Karabük,2017, 41 755, 1 778,638, 9 609, 3 051,Karadeniz Bölgesi
Kilis,2017, 10 702,992,161, 3 691, 1 038,Güneydoğu Anadolu Bölgesi
Osmaniye,2017, 76 330, 3 835, 1 053, 22 014, 3 579,Akdeniz Bölgesi
Düzce,2017, 55 537, 2 632, 1 728, 16 830, 4 649,Karadeniz Bölgesi
Adana,2018, 329 837, 11 108, 4 778, 100 552, 19 890,Akdeniz Bölgesi
Adıyaman,2018, 48 562, 4 672,388, 15 407, 3 459,Güneydoğu Anadolu Bölgesi
Afyonkarahisar,2018, 88 343, 4 853, 1 686, 34 515, 9 649,Ege Bölgesi
Ağrı,2018, 9 746, 2 473,340, 7 488, 2 154,Doğu Anadolu Bölgesi
Amasya,2018, 58 203, 3 030,726, 17 002, 3 514,Karadeniz Bölgesi
Ankara,2018,1 441 804, 25 229, 17 837, 296 541, 80 551,İç Anadolu Bölgesi
Antalya,2018, 499 021, 14 651, 10 845, 182 920, 23 408,Akdeniz Bölgesi
Artvin,2018, 15 801, 2 210,320, 13 428, 3 380,Karadeniz Bölgesi
Aydın,2018, 181 368, 10 422, 3 033, 68 422, 8 928,Ege Bölgesi
Balıkesir,2018, 207 639, 6 334, 3 599, 68 145, 12 379,Marmara Bölgesi
Bilecik,2018, 33 418, 1 043,847, 11 690, 3 166,Marmara Bölgesi
Bingöl,2018, 7 609, 1 333,242, 4 822, 1 150,Doğu Anadolu Bölgesi
Bitlis,2018, 7 873, 1 581,159, 6 208, 1 780,Doğu Anadolu Bölgesi
Bolu,2018, 56 243, 1 545, 1 002, 16 521, 5 984,Karadeniz Bölgesi
Burdur,2018, 54 783, 1 355,904, 15 631, 5 755,Akdeniz Bölgesi
Bursa,2018, 496 501, 14 735, 8 482, 167 849, 28 229,Marmara Bölgesi
Çanakkale,2018, 91 763, 2 603, 1 911, 33 220, 5 952,Marmara Bölgesi
Çankırı,2018, 21 964,745,509, 8 250, 1 909,İç Anadolu Bölgesi
Çorum,2018, 81 873, 2 732, 1 150, 22 131, 5 757,Karadeniz Bölgesi
Denizli,2018, 195 411, 7 042, 4 047, 63 617, 12 145,Ege Bölgesi
Diyarbakır,2018, 51 346, 6 018, 1 389, 23 067, 6 839,Güneydoğu Anadolu Bölgesi
Edirne,2018, 68 802, 1 892, 1 877, 21 456, 4 385,Marmara Bölgesi
Elazığ,2018, 70 389, 4 009,784, 24 737, 5 326,Doğu Anadolu Bölgesi
Erzincan,2018, 28 207, 1 650,484, 11 286, 1 944,Doğu Anadolu Bölgesi
Erzurum,2018, 59 019, 2 872, 1 170, 26 898, 5 842,Doğu Anadolu Bölgesi
Eskişehir,2018, 166 734, 3 720, 2 679, 45 356, 10 445,İç Anadolu Bölgesi
Gaziantep,2018, 229 394, 13 078, 4 263, 88 606, 18 551,Güneydoğu Anadolu Bölgesi
Giresun,2018, 41 850, 7 779,382, 28 560, 4 656,Karadeniz Bölgesi
Gümüşhane,2018, 10 559, 1 106,209, 5 932, 1 485,Karadeniz Bölgesi
Hakkari,2018, 2 156, 1 430,68, 2 443, 1 409,Doğu Anadolu Bölgesi
Hatay,2018, 209 805, 12 023, 3 861, 63 378, 20 184,Akdeniz Bölgesi
Isparta,2018, 81 373, 2 461, 1 487, 25 061, 4 584,Akdeniz Bölgesi
Mersin,2018, 274 194, 8 818, 5 492, 105 070, 31 925,Akdeniz Bölgesi
İstanbul,2018,2 887 581, 94 873, 42 614, 669 994, 136 083,Marmara Bölgesi
İzmir,2018, 765 657, 15 622, 15 700, 230 812, 41 655,Ege Bölgesi
Kars,2018, 11 958, 1 747,385, 8 009, 1 900,Doğu Anadolu Bölgesi
Kastamonu,2018, 62 828, 2 851, 1 131, 17 728, 5 329,Karadeniz Bölgesi
Kayseri,2018, 235 194, 6 302, 4 884, 63 737, 16 707,İç Anadolu Bölgesi
Kırklareli,2018, 60 395, 2 010, 1 507, 16 642, 4 272,Marmara Bölgesi
Kırşehir,2018, 38 563, 1 111,583, 8 633, 2 324,İç Anadolu Bölgesi
Kocaeli,2018, 232 254, 8 541, 7 112, 74 389, 23 105,Marmara Bölgesi
Konya,2018, 353 301, 11 075, 5 847, 122 068, 36 310,İç Anadolu Bölgesi
Kütahya,2018, 106 726, 3 967, 1 934, 27 165, 7 139,Ege Bölgesi
Malatya,2018, 92 046, 4 643, 1 685, 34 019, 5 200,Doğu Anadolu Bölgesi
Manisa,2018, 216 376, 7 240, 7 295, 70 952, 15 593,Ege Bölgesi
K.Maraş,2018, 130 570, 7 264, 2 071, 42 064, 7 555,Akdeniz Bölgesi
Mardin,2018, 23 261, 4 474,714, 19 191, 10 236,Güneydoğu Anadolu Bölgesi
Muğla,2018, 206 277, 9 832, 4 458, 71 972, 9 387,Ege Bölgesi
Muş,2018, 9 029, 1 562,191, 7 752, 1 790,Doğu Anadolu Bölgesi
Nevşehir,2018, 52 250, 3 364,787, 18 970, 6 802,İç Anadolu Bölgesi
Niğde,2018, 46 181, 1 969,927, 17 873, 5 755,İç Anadolu Bölgesi
Ordu,2018, 72 580, 10 931, 1 018, 35 387, 5 872,Karadeniz Bölgesi
Rize,2018, 33 888, 3 443,653, 32 321, 5 856,Karadeniz Bölgesi
Sakarya,2018, 146 793, 5 758, 3 553, 47 683, 10 870,Marmara Bölgesi
Samsun,2018, 170 450, 13 570, 1 530, 67 607, 10 141,Karadeniz Bölgesi
Siirt,2018, 7 091, 1 693,126, 5 471, 1 133,Güneydoğu Anadolu Bölgesi
Sinop,2018, 31 370, 2 028,335, 9 028, 2 062,Karadeniz Bölgesi
Sivas,2018, 83 447, 3 365, 1 370, 25 913, 6 176,İç Anadolu Bölgesi
Tekirdağ,2018, 143 370, 5 274, 5 280, 44 666, 10 557,Marmara Bölgesi
Tokat,2018, 80 200, 4 260, 1 287, 25 921, 4 580,Karadeniz Bölgesi
Trabzon,2018, 105 354, 10 000, 1 671, 57 216, 11 632,Karadeniz Bölgesi
Tunceli,2018, 3 447,655,89, 1 800,459,Doğu Anadolu Bölgesi
Ş.Urfa,2018, 95 552, 9 572, 1 441, 30 966, 14 436,Güneydoğu Anadolu Bölgesi
Uşak,2018, 67 176, 2 252, 1 515, 18 995, 4 108,Ege Bölgesi
Van,2018, 27 752, 7 636,640, 23 700, 6 320,Doğu Anadolu Bölgesi
Yozgat,2018, 49 273, 2 601,592, 12 786, 5 259,İç Anadolu Bölgesi
Zonguldak,2018, 95 169, 4 504, 1 899, 26 277, 6 221,Karadeniz Bölgesi
Aksaray,2018, 64 272, 1 396, 1 416, 17 424, 6 263,İç Anadolu Bölgesi
Bayburt,2018, 6 629,580,112, 2 845,675,Karadeniz Bölgesi
Karaman,2018, 36 591, 1 855,638, 12 044, 2 503,İç Anadolu Bölgesi
Kırıkkale,2018, 42 634, 1 671,666, 8 495, 2 593,İç Anadolu Bölgesi
Batman,2018, 15 089, 2 771,287, 11 817, 2 681,Güneydoğu Anadolu Bölgesi
Şırnak,2018, 4 409, 1 670,196, 6 038, 11 509,Doğu Anadolu Bölgesi
Bartın,2018, 29 262, 1 532,603, 7 715, 1 588,Karadeniz Bölgesi
Ardahan,2018, 3 904,788,50, 2 901,484,Doğu Anadolu Bölgesi
Iğdır,2018, 6 449, 1 372,301, 5 522, 3 172,Doğu Anadolu Bölgesi
Yalova,2018, 36 101, 2 057, 1 001, 13 279, 2 088,Marmara Bölgesi
Karabük,2018, 41 441, 1 739,639, 9 724, 3 028,Karadeniz Bölgesi
Kilis,2018, 10 833, 1 024,160, 3 841, 1 075,Güneydoğu Anadolu Bölgesi
Osmaniye,2018, 79 073, 3 951, 1 050, 22 880, 3 623,Akdeniz Bölgesi
Düzce,2018, 56 554, 2 580, 1 630, 17 139, 4 642,Karadeniz Bölgesi
Adana,2019, 332 764, 11 268, 4 632, 101 266, 19 591,Akdeniz Bölgesi
Adıyaman,2019, 49 398, 4 644,382, 15 313, 3 459,Güneydoğu Anadolu Bölgesi
Afyonkarahisar,2019, 87 667, 4 886, 1 606, 35 107, 9 652,Ege Bölgesi
Ağrı,2019, 8 985, 2 475,334, 7 190, 2 056,Doğu Anadolu Bölgesi
Amasya,2019, 58 595, 3 037,679, 17 274, 3 508,Karadeniz Bölgesi
Ankara,2019,1 489 336, 25 500, 18 038, 302 732, 81 107,İç Anadolu Bölgesi
Antalya,2019, 520 199, 15 771, 11 106, 188 123, 23 822,Akdeniz Bölgesi
Artvin,2019, 15 851, 2 227,333, 13 644, 3 466,Karadeniz Bölgesi
Aydın,2019, 182 301, 10 564, 2 919, 69 623, 8 945,Ege Bölgesi
Balıkesir,2019, 209 307, 6 419, 3 374, 68 589, 12 487,Marmara Bölgesi
Bilecik,2019, 33 203, 1 097,848, 11 777, 3 162,Marmara Bölgesi
Bingöl,2019, 7 603, 1 287,243, 4 646, 1 148,Doğu Anadolu Bölgesi
Bitlis,2019, 7 717, 1 564,158, 6 057, 1 744,Doğu Anadolu Bölgesi
Bolu,2019, 55 916, 1 559,943, 16 660, 5 963,Karadeniz Bölgesi
Burdur,2019, 53 994, 1 389,875, 15 839, 5 731,Akdeniz Bölgesi
Bursa,2019, 508 805, 15 027, 8 126, 170 626, 28 556,Marmara Bölgesi
Çanakkale,2019, 91 480, 2 660, 1 831, 33 534, 5 951,Marmara Bölgesi
Çankırı,2019, 21 640,743,528, 8 317, 1 897,İç Anadolu Bölgesi
Çorum,2019, 80 530, 2 741, 1 070, 22 100, 5 721,Karadeniz Bölgesi
Denizli,2019, 197 127, 7 136, 3 942, 64 769, 12 026,Ege Bölgesi
Diyarbakır,2019, 49 830, 6 160, 1 401, 22 193, 6 712,Güneydoğu Anadolu Bölgesi
Edirne,2019, 68 968, 1 956, 1 837, 21 771, 4 441,Marmara Bölgesi
Elazığ,2019, 72 020, 3 907,767, 25 258, 5 384,Doğu Anadolu Bölgesi
Erzincan,2019, 28 317, 1 630,481, 11 433, 1 960,Doğu Anadolu Bölgesi
Erzurum,2019, 58 602, 2 767, 1 189, 26 749, 5 809,Doğu Anadolu Bölgesi
Eskişehir,2019, 167 974, 3 794, 2 570, 45 784, 10 569,İç Anadolu Bölgesi
Gaziantep,2019, 232 912, 13 335, 4 239, 91 740, 19 039,Güneydoğu Anadolu Bölgesi
Giresun,2019, 42 113, 7 709,386, 29 122, 4 577,Karadeniz Bölgesi
Gümüşhane,2019, 10 625, 1 063,202, 6 001, 1 471,Karadeniz Bölgesi
Hakkari,2019, 2 101, 1 347,70, 2 304, 1 365,Doğu Anadolu Bölgesi
Hatay,2019, 213 874, 11 634, 3 811, 63 794, 20 070,Akdeniz Bölgesi
Isparta,2019, 81 161, 2 499, 1 448, 25 329, 4 566,Akdeniz Bölgesi
Mersin,2019, 278 524, 9 137, 5 339, 106 950, 32 850,Akdeniz Bölgesi
İstanbul,2019,2 876 156, 97 468, 40 902, 673 015, 133 904,Marmara Bölgesi
İzmir,2019, 781 191, 16 258, 15 229, 234 650, 42 022,Ege Bölgesi
Kars,2019, 11 584, 1 715,376, 7 841, 1 834,Doğu Anadolu Bölgesi
Kastamonu,2019, 61 138, 2 811, 1 054, 17 991, 5 311,Karadeniz Bölgesi
Kayseri,2019, 236 660, 6 387, 5 007, 64 715, 16 711,İç Anadolu Bölgesi
Kırklareli,2019, 60 335, 2 056, 1 528, 16 634, 4 233,Marmara Bölgesi
Kırşehir,2019, 38 280, 1 125,534, 8 754, 2 358,İç Anadolu Bölgesi
Kocaeli,2019, 236 434, 8 686, 6 959, 74 832, 23 024,Marmara Bölgesi
Konya,2019, 349 845, 11 248, 5 697, 123 370, 36 789,İç Anadolu Bölgesi
Kütahya,2019, 105 177, 3 915, 1 854, 27 062, 7 091,Ege Bölgesi
Malatya,2019, 94 084, 4 636, 1 709, 34 816, 5 295,Doğu Anadolu Bölgesi
Manisa,2019, 215 051, 7 226, 7 030, 71 825, 15 458,Ege Bölgesi
K.Maraş,2019, 131 954, 7 176, 2 050, 42 983, 7 433,Akdeniz Bölgesi
Mardin,2019, 22 636, 4 385,692, 18 499, 10 138,Güneydoğu Anadolu Bölgesi
Muğla,2019, 209 602, 9 817, 4 437, 73 967, 9 562,Ege Bölgesi
Muş,2019, 8 720, 1 490,192, 7 529, 1 733,Doğu Anadolu Bölgesi
Nevşehir,2019, 53 332, 3 585,784, 19 566, 6 812,İç Anadolu Bölgesi
Niğde,2019, 46 907, 2 029,920, 18 414, 5 764,İç Anadolu Bölgesi
Ordu,2019, 73 259, 10 862, 1 083, 35 683, 5 806,Karadeniz Bölgesi
Rize,2019, 34 053, 3 464,602, 32 870, 5 868,Karadeniz Bölgesi
Sakarya,2019, 146 632, 5 832, 3 340, 47 722, 10 785,Marmara Bölgesi
Samsun,2019, 174 775, 13 552, 1 519, 68 656, 10 075,Karadeniz Bölgesi
Siirt,2019, 6 842, 1 633,126, 5 327, 1 052,Güneydoğu Anadolu Bölgesi
Sinop,2019, 30 895, 1 991,313, 9 062, 2 032,Karadeniz Bölgesi
Sivas,2019, 83 437, 3 275, 1 305, 26 085, 6 113,İç Anadolu Bölgesi
Tekirdağ,2019, 142 506, 5 204, 5 260, 44 630, 10 655,Marmara Bölgesi
Tokat,2019, 81 310, 4 292, 1 210, 26 393, 4 535,Karadeniz Bölgesi
Trabzon,2019, 107 777, 10 205, 1 540, 58 340, 11 583,Karadeniz Bölgesi
Tunceli,2019, 3 538,610,97, 1 801,446,Doğu Anadolu Bölgesi
Ş.Urfa,2019, 91 258, 9 506, 1 459, 29 417, 14 245,Güneydoğu Anadolu Bölgesi
Uşak,2019, 66 528, 2 286, 1 434, 19 171, 4 092,Ege Bölgesi
Van,2019, 26 783, 7 572,643, 22 948, 6 108,Doğu Anadolu Bölgesi
Yozgat,2019, 48 195, 2 500,578, 12 865, 5 258,İç Anadolu Bölgesi
Zonguldak,2019, 94 977, 4 484, 1 821, 26 011, 6 137,Karadeniz Bölgesi
Aksaray,2019, 65 147, 1 417, 1 373, 17 796, 6 336,İç Anadolu Bölgesi
Bayburt,2019, 6 682,587,117, 2 937,671,Karadeniz Bölgesi
Karaman,2019, 36 138, 1 861,590, 12 231, 2 517,İç Anadolu Bölgesi
Kırıkkale,2019, 40 906, 1 713,607, 8 404, 2 593,İç Anadolu Bölgesi
Batman,2019, 14 700, 2 711,289, 11 517, 2 605,Güneydoğu Anadolu Bölgesi
Şırnak,2019, 4 345, 1 558,187, 5 535, 11 028,Doğu Anadolu Bölgesi
Bartın,2019, 29 235, 1 538,543, 7 690, 1 591,Karadeniz Bölgesi
Ardahan,2019, 3 743,755,51, 2 856,479,Doğu Anadolu Bölgesi
Iğdır,2019, 6 247, 1 404,287, 5 518, 3 187,Doğu Anadolu Bölgesi
Yalova,2019, 35 926, 2 173, 1 008, 13 324, 2 041,Marmara Bölgesi
Karabük,2019, 40 399, 1 704,594, 9 605, 3 004,Karadeniz Bölgesi
Kilis,2019, 11 091, 1 025,164, 3 920, 1 076,Güneydoğu Anadolu Bölgesi
Osmaniye,2019, 80 797, 3 996, 1 029, 23 327, 3 675,Akdeniz Bölgesi
Düzce,2019, 56 403, 2 718, 1 528, 17 201, 4 611,Karadeniz Bölgesi
